timestamp,run_name,operation,core,size,pipe,total_iops,avg_iops_per_client
2026-03-06 22:55:47,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,1,166553.6,41638.40
2026-03-06 22:55:47,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,32,,
2026-03-06 22:55:47,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,4,433876.3,108469.07
2026-03-06 22:58:05,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,16,0,0
2026-03-06 22:58:05,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,223,64,1,0,0
2026-03-06 22:58:05,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,1,166553.6,41638.40
2026-03-06 22:58:05,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,32,,
2026-03-06 22:58:05,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,4,433876.3,108469.07
2026-03-06 23:03:05,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,16,0,0
2026-03-06 23:03:05,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,223,64,1,0,0
2026-03-06 23:03:05,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,1,166553.6,41638.40
2026-03-06 23:03:05,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,32,,
2026-03-06 23:03:05,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,4,433876.3,108469.07
2026-03-06 23:03:05,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,64,,
2026-03-06 23:05:57,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,16,2713513,678378.25
2026-03-06 23:05:57,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,223,64,1,0,0
2026-03-06 23:05:57,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,1,166553.6,41638.40
2026-03-06 23:05:57,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,32,,
2026-03-06 23:05:57,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,4,433876.3,108469.07
2026-03-06 23:05:57,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,64,,
2026-03-06 23:08:12,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,16,2713513,678378.25
2026-03-06 23:08:12,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,223,64,1,0,0
2026-03-06 23:08:12,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,1,105969.4,26492.35
2026-03-06 23:08:12,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,32,,
2026-03-06 23:08:12,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,4,433876.3,108469.07
2026-03-06 23:08:12,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,64,,
2026-03-06 23:11:51,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,128,16,2757925,689481.25
2026-03-06 23:11:51,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,16,2713513,678378.25
2026-03-06 23:11:51,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,223,64,1,0,0
2026-03-06 23:11:51,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,1,105969.4,26492.35
2026-03-06 23:11:51,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,32,,
2026-03-06 23:11:51,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,4,433876.3,108469.07
2026-03-06 23:11:51,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,64,,
2026-03-06 23:15:10,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,128,16,2506170,626542.50
2026-03-06 23:15:10,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,16,2713513,678378.25
2026-03-06 23:15:10,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,223,64,1,0,0
2026-03-06 23:15:10,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,1,105969.4,26492.35
2026-03-06 23:15:10,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,32,,
2026-03-06 23:15:10,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,4,433876.3,108469.07
2026-03-06 23:15:10,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,64,,
2026-03-06 23:16:47,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,128,16,2506170,626542.50
2026-03-06 23:16:47,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,16,2713513,678378.25
2026-03-06 23:16:47,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,223,64,1,0,0
2026-03-06 23:16:47,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,1,89102.4,22275.60
2026-03-06 23:16:47,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,32,,
2026-03-06 23:16:47,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,4,433876.3,108469.07
2026-03-06 23:16:47,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,64,,
2026-03-06 23:23:53,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,128,16,2506170,626542.50
2026-03-06 23:23:53,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,16,2713513,678378.25
2026-03-06 23:23:53,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,112,64,1,222211.9,55552.97
2026-03-06 23:23:53,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,223,64,1,0,0
2026-03-06 23:23:53,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,1,0,0
2026-03-06 23:23:53,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,32,,
2026-03-06 23:23:53,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,4,433876.3,108469.07
2026-03-06 23:23:53,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,64,,
2026-03-06 23:25:19,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,128,16,2506170,626542.50
2026-03-06 23:25:19,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,16,2713513,678378.25
2026-03-06 23:25:19,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,112,64,1,223116.8,55779.20
2026-03-06 23:25:19,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,223,64,1,0,0
2026-03-06 23:25:19,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,1,0,0
2026-03-06 23:25:19,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,32,,
2026-03-06 23:25:19,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,4,433876.3,108469.07
2026-03-06 23:25:19,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,64,,
2026-03-06 23:28:10,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,128,16,2506170,626542.50
2026-03-06 23:28:10,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,16,2713513,678378.25
2026-03-06 23:28:10,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,112,64,1,223116.8,55779.20
2026-03-06 23:28:10,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,223,64,1,0,0
2026-03-06 23:28:10,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,1,0,0
2026-03-06 23:28:10,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,112,64,2,450573,112643.25
2026-03-06 23:28:10,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,32,,
2026-03-06 23:28:10,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,4,433876.3,108469.07
2026-03-06 23:28:10,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,64,,
2026-03-06 23:29:56,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,128,16,2506170,626542.50
2026-03-06 23:29:56,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,112,64,16,3406511,851627.75
2026-03-06 23:29:56,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,16,2713513,678378.25
2026-03-06 23:29:56,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,112,64,1,223116.8,55779.20
2026-03-06 23:29:56,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,223,64,1,0,0
2026-03-06 23:29:56,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,1,0,0
2026-03-06 23:29:56,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,112,64,2,450573,112643.25
2026-03-06 23:29:56,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,32,,
2026-03-06 23:29:56,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,4,433876.3,108469.07
2026-03-06 23:29:56,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,64,,
2026-03-06 23:50:05,cbb_scaling_Core_0-55_CCB0_irq_combined_14_local_pipe_1_size_64,ping,56,64,16,,
2026-03-06 23:50:05,cbb_scaling_Core_0-55_CCB0_irq_combined_14_local_pipe_1_size_64,ping,56,64,1,386703.7,96675.92
2026-03-06 23:52:47,cbb_scaling_Core_0-111_CCB1_irq_combined_28_local_pipe_1_size_64,ping,112,64,16,3386921,846730.25
2026-03-06 23:52:47,cbb_scaling_Core_0-111_CCB1_irq_combined_28_local_pipe_1_size_64,ping,112,64,1,209603.5,52400.87
2026-03-06 23:56:22,cbb_scaling_Core_0-167_CCB2_irq_combined_42_local_pipe_1_size_64,ping,168,64,16,3117650,779412.50
2026-03-06 23:56:22,cbb_scaling_Core_0-167_CCB2_irq_combined_42_local_pipe_1_size_64,ping,112,64,1,103989.9,25997.47
2026-03-06 23:56:22,cbb_scaling_Core_0-167_CCB2_irq_combined_42_local_pipe_1_size_64,ping,168,64,1,114728.6,28682.15
2026-03-06 23:59:32,cbb_scaling_Core_0-167_CCB2_irq_combined_42_local_pipe_1_size_64,ping,168,64,16,3137820,784455.00
2026-03-06 23:59:32,cbb_scaling_Core_0-167_CCB2_irq_combined_42_local_pipe_1_size_64,ping,112,64,1,103989.9,25997.47
2026-03-06 23:59:32,cbb_scaling_Core_0-167_CCB2_irq_combined_42_local_pipe_1_size_64,ping,168,64,1,114728.6,28682.15
2026-03-07 00:01:05,cbb_scaling_Core_0-167_CCB2_irq_combined_42_local_pipe_1_size_64,ping,168,64,16,3158625,789656.25
