timestamp,run_name,operation,core,size,pipe,total_iops,avg_iops_per_client
2026-03-07 00:03:46,cbb_scaling_Core_0-167_CCB2_irq_combined_42_local_pipe_1_size_64,ping,168,64,16,3118235,779558.75
2026-03-07 00:05:50,cbb_scaling_Core_0-111_CCB1_irq_combined_28_local_pipe_1_size_64,ping,112,64,16,3440901,860225.25
2026-03-07 00:09:40,cbb_scaling_Core_0-55_CCB0_irq_combined_14_local_pipe_1_size_64,ping,56,64,16,,
2026-03-07 00:10:44,cbb_scaling_Core_0-111_CCB1_irq_combined_28_local_pipe_1_size_64,ping,112,64,16,,
2026-03-07 00:11:54,cbb_scaling_Core_0-167_CCB2_irq_combined_42_local_pipe_1_size_64,ping,168,64,16,3195622,798905.50
2026-03-07 00:13:13,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,16,2912066,728016.50
2026-03-07 00:18:49,cbb_scaling_Core_0-55_CCB0_irq_combined_14_local_pipe_1_size_64,ping,56,64,16,,
2026-03-07 00:18:49,cbb_scaling_Core_0-55_CCB0_irq_combined_14_local_pipe_1_size_64,ping,56,64,8,3041922,760480.50
2026-03-07 00:19:56,cbb_scaling_Core_0-111_CCB1_irq_combined_28_local_pipe_1_size_64,ping,112,64,16,,
2026-03-07 00:19:56,cbb_scaling_Core_0-111_CCB1_irq_combined_28_local_pipe_1_size_64,ping,112,64,8,1505943,376485.75
2026-03-07 00:21:19,cbb_scaling_Core_0-167_CCB2_irq_combined_42_local_pipe_1_size_64,ping,168,64,16,3195622,798905.50
2026-03-07 00:21:19,cbb_scaling_Core_0-167_CCB2_irq_combined_42_local_pipe_1_size_64,ping,168,64,8,1069295,267323.75
2026-03-07 00:23:07,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,16,2912066,728016.50
2026-03-07 00:23:07,cbb_scaling_Core_0-223_CCB3_irq_combined_56_local_pipe_1_size_64,ping,224,64,8,730665,182666.25
2026-03-07 00:28:13,cbb_scaling_Core_0-55_CCB0_irq_combined_14_local_pipe_1_size_64,ping,56,64,16,,
2026-03-07 00:28:13,cbb_scaling_Core_0-55_CCB0_irq_combined_14_local_pipe_1_size_64,ping,56,64,1,376772,125590.66
2026-03-07 00:28:13,cbb_scaling_Core_0-55_CCB0_irq_combined_14_local_pipe_1_size_64,ping,56,64,8,3041922,760480.50
2026-03-07 00:29:22,cbb_scaling_Core_0-111_CCB1_irq_combined_28_local_pipe_1_size_64,ping,112,64,16,,
2026-03-07 00:29:22,cbb_scaling_Core_0-111_CCB1_irq_combined_28_local_pipe_1_size_64,ping,112,64,1,221623.5,73874.50
2026-03-07 00:29:22,cbb_scaling_Core_0-111_CCB1_irq_combined_28_local_pipe_1_size_64,ping,112,64,8,1505943,376485.75
2026-03-07 00:30:39,cbb_scaling_Core_0-167_CCB2_irq_combined_42_local_pipe_1_size_64,ping,168,64,16,3195622,798905.50
