Iteration,Script,Idle_Latency_ns,ReadOnly_BW_MBps,Read_Write_3to1_BW_MBps,Read_Write_2to1_BW_MBps,Read_Write_1to1_BW_MBps,Read_NT_Write_2to1_BW_MBps,Read_NT_Write_1to1_BW_MBps,NT_Write_Only_BW_MBps
1,run_mlc.sh,119.6,652960.9,517966.7,501894.1,469362.0,519739.2,482068.7,435893.5
1,run_mlc_with_sleep.sh,118.9,648707.8,563090.4,558010.1,517516.7,566035.1,531745.7,489668.3
1,run_mlc_witout_wait.sh,119.5,651834.0,534539.6,509000.3,464089.3,528861.0,487941.7,439848.4
